m,c
-3.55,3.5500478791693237
-3.549,3.549048072151165
-3.548,3.548048265867273
-3.547,3.5470484603202577
-3.546,3.546048655512738
-3.545,3.5450488514473424
-3.544,3.544049048126705
-3.543,3.543049245553471
-3.542,3.542049443730293
-3.541,3.5410496426598335
-3.54,3.540049842344763
-3.539,3.53905004278776
-3.538,3.538050243991513
-3.537,3.537050445958719
-3.536,3.5360506486920826
-3.535,3.5350508521943187
-3.534,3.5340510564681504
-3.533,3.533051261516309
-3.532,3.5320514673415366
-3.531,3.5310516739465827
-3.53,3.5300518813342054
-3.529,3.5290520895071738
-3.528,3.528052298468263
-3.527,3.527052508220261
-3.526,3.52605271876596
-3.525,3.5250529301081657
-3.524,3.5240531422496906
-3.523,3.523053355193357
-3.522,3.522053568941996
-3.521,3.5210537834984486
-3.52,3.5200539988655644
-3.519,3.519054215046202
-3.518,3.51805443204323
-3.517,3.517054649859525
-3.516,3.5160548684979753
-3.515,3.5150550879614766
-3.514,3.5140553082529333
-3.513,3.5130555293752623
-3.512,3.5120557513313875
-3.511,3.5110559741242415
-3.51,3.5100561977567684
-3.509,3.5090564222319207
-3.508,3.5080566475526616
-3.507,3.507056873721963
-3.506,3.506057100742806
-3.505,3.5050573286181814
-3.504,3.504057557351091
-3.503,3.503057786944545
-3.502,3.5020580174015623
-3.501,3.5010582487251747
-3.5,3.500058480918421
-3.499,3.4990587139843514
-3.498,3.4980589479260242
-3.497,3.4970591827465087
-3.496,3.4960594184488847
-3.495,3.49505965503624
-3.494,3.4940598925116744
-3.493,3.493060130878296
-3.492,3.4920603701392245
-3.491,3.491060610297588
-3.49,3.490060851356526
-3.489,3.4890610933191866
-3.488,3.4880613361887294
-3.487,3.4870615799683238
-3.486,3.4860618246611486
-3.485,3.485062070270393
-3.484,3.484062316799258
-3.483,3.483062564250953
-3.482,3.482062812628698
-3.481,3.4810630619357235
-3.48,3.4800633121752713
-3.479,3.4790635633505915
-3.478,3.4780638154649473
-3.477,3.4770640685216088
-3.476,3.4760643225238606
-3.475,3.4750645774749946
-3.474,3.4740648333783146
-3.473,3.4730650902371347
-3.472,3.47206534805478
-3.471,3.471065606834585
-3.47,3.4700658665798967
-3.469,3.4690661272940706
-3.468,3.468066388980475
-3.467,3.4670666516424866
-3.466,3.4660669152834966
-3.465,3.4650671799069017
-3.464,3.4640674455161142
-3.463,3.463067712114555
-3.462,3.462067979705655
-3.461,3.4610682482928596
-3.46,3.46006851787962
-3.459,3.4590687884694042
-3.458,3.458069060065686
-3.457,3.457069332671952
-3.456,3.4560696062917025
-3.455,3.4550698809284452
-3.454,3.454070156585701
-3.453,3.453070433267
-3.452,3.4520707109758857
-3.451,3.451070989715913
-3.45,3.4500712694906457
-3.449,3.4490715503036604
-3.448,3.4480718321585457
-3.447,3.447072115058899
-3.446,3.446072399008333
-3.445,3.4450726840104675
-3.444,3.4440729700689374
-3.443,3.443073257187387
-3.442,3.4420735453694724
-3.441,3.4410738346188614
-3.44,3.4400741249392333
-3.439,3.43907441633428
-3.438,3.438074708807704
-3.437,3.437075002363219
-3.436,3.4360752970045514
-3.435,3.435075592735439
-3.434,3.434075889559632
-3.433,3.433076187480891
-3.432,3.4320764865029894
-3.431,3.431076786629713
-3.43,3.430077087864858
-3.429,3.4290773902122336
-3.428,3.428077693675661
-3.427,3.427077998258973
-3.426,3.426078303966015
-3.425,3.425078610800643
-3.424,3.424078918766727
-3.423,3.4230792278681483
-3.422,3.4220795381088003
-3.421,3.421079849492588
-3.42,3.4200801620234307
-3.419,3.4190804757052575
-3.418,3.418080790542012
-3.417,3.417081106537647
-3.416,3.416081423696132
-3.415,3.4150817420214454
-3.414,3.414082061517581
-3.413,3.41308238218854
-3.412,3.412082704038343
-3.411,3.4110830270710184
-3.41,3.4100833512906084
-3.409,3.4090836767011665
-3.408,3.4080840033067625
-3.407,3.407084331111476
-3.406,3.406084660119399
-3.405,3.4050849903346387
-3.404,3.4040853217613125
-3.403,3.4030856544035517
-3.402,3.4020859882655015
-3.401,3.4010863233513176
-3.4,3.4000866596651718
-3.399,3.3990869972112456
-3.398,3.398087335993736
-3.397,3.3970876760168514
-3.396,3.396088017284815
-3.395,3.3950883598018615
-3.394,3.3940887035722396
-3.393,3.39308904860021
-3.392,3.392089394890049
-3.391,3.3910897424460438
-3.39,3.3900900912724965
-3.389,3.3890904413737206
-3.388,3.3880907927540465
-3.387,3.3870911454178136
-3.386,3.3860914993693783
-3.385,3.3850918546131084
-3.384,3.384092211153386
-3.383,3.3830925689946074
-3.382,3.3820929281411813
-3.381,3.3810932885975298
-3.38,3.380093650368091
-3.379,3.3790940134573137
-3.378,3.378094377869663
-3.377,3.3770947436096153
-3.376,3.3760951106816632
-3.375,3.3750954790903123
-3.374,3.3740958488400805
-3.373,3.3730962199355026
-3.372,3.3720965923811246
-3.371,3.3710969661815096
-3.37,3.3700973413412307
-3.369,3.3690977178648787
-3.368,3.368098095757056
-3.367,3.367098475022381
-3.366,3.3660988556654856
-3.365,3.365099237691016
-3.364,3.3640996211036316
-3.363,3.363100005908009
-3.362,3.3621003921088355
-3.361,3.3611007797108154
-3.36,3.360101168718666
-3.359,3.3591015591371196
-3.358,3.3581019509709247
-3.357,3.3571023442248418
-3.356,3.356102738903645
-3.355,3.3551031350121283
-3.354,3.354103532555095
-3.353,3.353103931537365
-3.352,3.3521043319637744
-3.351,3.351104733839172
-3.35,3.350105137168422
-3.349,3.3491055419564044
-3.348,3.348105948208013
-3.347,3.3471063559281573
-3.346,3.346106765121761
-3.345,3.3451071757937636
-3.344,3.3441075879491184
-3.343,3.3431080015927965
-3.342,3.342108416729781
-3.341,3.341108833365073
-3.34,3.340109251503686
-3.339,3.339109671150651
-3.338,3.338110092311014
-3.337,3.337110514989835
-3.336,3.33611093919219
-3.335,3.335111364923172
-3.334,3.334111792187888
-3.333,3.33311222099146
-3.332,3.3321126513390267
-3.331,3.3311130832357425
-3.33,3.330113516686777
-3.329,3.3291139516973147
-3.328,3.3281143882725566
-3.327,3.3271148264177204
-3.326,3.3261152661380384
-3.325,3.325115707438759
-3.324,3.324116150325146
-3.323,3.323116594802481
-3.322,3.322117040876059
-3.321,3.321117488551193
-3.32,3.320117937833211
-3.319,3.3191183887274582
-3.318,3.318118841239295
-3.317,3.3171192953740984
-3.316,3.3161197511372604
-3.315,3.315120208534192
-3.314,3.314120667570318
-3.313,3.313121128251081
-3.312,3.3121215905819392
-3.311,3.311122054568368
-3.31,3.3101225202158586
-3.309,3.309122987529919
-3.308,3.308123456516074
-3.307,3.307123927179865
-3.306,3.30612439952685
-3.305,3.305124873562603
-3.304,3.3041253492927156
